public_intersection,year,all_eligible_crashes,cyclist_involved_crashes,pedestrian_involved_crashes
ELM ST & HAMPSHIRE ST,2023,1,0,1
ELM ST & HAMPSHIRE ST,2024,0,0,0
ELM ST & HAMPSHIRE ST,2025,0,0,0
EVERETT ST & OXFORD ST,2023,0,0,0
EVERETT ST & OXFORD ST,2024,1,1,0
EVERETT ST & OXFORD ST,2025,0,0,0
EXETER PARK & MASSACHUSETTS AVE,2023,1,0,1
EXETER PARK & MASSACHUSETTS AVE,2024,0,0,0
EXETER PARK & MASSACHUSETTS AVE,2025,0,0,0
FAYERWEATHER ST & RESERVIOR ST,2023,0,0,0
FAYERWEATHER ST & RESERVIOR ST,2024,1,0,1
FAYERWEATHER ST & RESERVIOR ST,2025,0,0,0
FIRST ST & HURLEY ST,2023,0,0,0
FIRST ST & HURLEY ST,2024,0,0,0
FIRST ST & HURLEY ST,2025,1,0,1
FLAGG ST & PUTNAM AVE,2023,0,0,0
FLAGG ST & PUTNAM AVE,2024,0,0,0
FLAGG ST & PUTNAM AVE,2025,1,0,1
FRANKLIN ST & SIDNEY ST,2023,1,1,0
FRANKLIN ST & SIDNEY ST,2024,0,0,0
FRANKLIN ST & SIDNEY ST,2025,0,0,0
GERRY ST & MOUNT AUBURN ST,2023,0,0,0
GERRY ST & MOUNT AUBURN ST,2024,1,0,1
GERRY ST & MOUNT AUBURN ST,2025,0,0,0
GORE ST & RUFO RD,2023,0,0,0
GORE ST & RUFO RD,2024,1,1,0
GORE ST & RUFO RD,2025,0,0,0
GORE ST & THIRD ST,2023,1,1,0
GORE ST & THIRD ST,2024,0,0,0
GORE ST & THIRD ST,2025,0,0,0
GREEN ST & MAGAZINE ST,2023,0,0,0
GREEN ST & MAGAZINE ST,2024,1,0,1
GREEN ST & MAGAZINE ST,2025,0,0,0
GREEN ST & WESTERN AVE,2023,0,0,0
GREEN ST & WESTERN AVE,2024,0,0,0
GREEN ST & WESTERN AVE,2025,1,0,1
HAMMOND & OXFORD,2023,1,1,0
HAMMOND & OXFORD,2024,0,0,0
HAMMOND & OXFORD,2025,0,0,0
HAMNPSHIRE ST & PORLAND ST,2023,0,0,0
HAMNPSHIRE ST & PORLAND ST,2024,0,0,0
HAMNPSHIRE ST & PORLAND ST,2025,1,1,0
HAMPSHIRE & PROSPECT,2023,0,0,0
HAMPSHIRE & PROSPECT,2024,0,0,0
HAMPSHIRE & PROSPECT,2025,1,1,0
HAMPSHIRE ST & MURDOCK ST,2023,0,0,0
HAMPSHIRE ST & MURDOCK ST,2024,1,1,0
HAMPSHIRE ST & MURDOCK ST,2025,0,0,0
HAMPSHIRE ST & PROSPECT,2023,0,0,0
HAMPSHIRE ST & PROSPECT,2024,1,1,0
HAMPSHIRE ST & PROSPECT,2025,0,0,0
HARVARD ST & MOORE ST,2023,1,1,0
HARVARD ST & MOORE ST,2024,0,0,0
HARVARD ST & MOORE ST,2025,0,0,0
HARVARD ST & PROSPECT ST,2023,0,0,0
HARVARD ST & PROSPECT ST,2024,1,0,1
HARVARD ST & PROSPECT ST,2025,0,0,0
HARVARD ST & TROWBRIDGE,2023,1,1,0
HARVARD ST & TROWBRIDGE,2024,0,0,0
HARVARD ST & TROWBRIDGE,2025,0,0,0
HARVARD ST & WARE ST,2023,1,0,1
HARVARD ST & WARE ST,2024,0,0,0
HARVARD ST & WARE ST,2025,0,0,0
HARVARD ST & WINDSOR ST,2023,0,0,0
HARVARD ST & WINDSOR ST,2024,0,0,0
HARVARD ST & WINDSOR ST,2025,1,0,1
HEMLOCK RD & SPARKS ST,2023,1,1,0
HEMLOCK RD & SPARKS ST,2024,0,0,0
HEMLOCK RD & SPARKS ST,2025,0,0,0
HINGHAM ST & MEMORIAL DR,2023,0,0,0
HINGHAM ST & MEMORIAL DR,2024,0,0,0
HINGHAM ST & MEMORIAL DR,2025,1,1,0
HOLYOKE & MOUNT AUBURN ST,2023,1,0,1
HOLYOKE & MOUNT AUBURN ST,2024,0,0,0
HOLYOKE & MOUNT AUBURN ST,2025,0,0,0
HOWARD ST & WESTERN AVE,2023,0,0,0
HOWARD ST & WESTERN AVE,2024,0,0,0
HOWARD ST & WESTERN AVE,2025,1,1,0
HOWARD SY & RIVER ST,2023,0,0,0
HOWARD SY & RIVER ST,2024,0,0,0
HOWARD SY & RIVER ST,2025,1,0,1
HURON AVE & LAKEVIEW AVE,2023,0,0,0
HURON AVE & LAKEVIEW AVE,2024,0,0,0
HURON AVE & LAKEVIEW AVE,2025,1,0,1
IRVING ST & KIRKLAND ST,2023,1,1,0
IRVING ST & KIRKLAND ST,2024,0,0,0
IRVING ST & KIRKLAND ST,2025,0,0,0
JAY ST & WESTERN AVE,2023,0,0,0
JAY ST & WESTERN AVE,2024,1,1,0
JAY ST & WESTERN AVE,2025,0,0,0
JFK ST & MOUNT AUBURN ST,2023,1,0,1
JFK ST & MOUNT AUBURN ST,2024,0,0,0
JFK ST & MOUNT AUBURN ST,2025,0,0,0
JFK ST & MOUNT AURBURNST,2023,0,0,0
JFK ST & MOUNT AURBURNST,2024,1,0,1
JFK ST & MOUNT AURBURNST,2025,0,0,0
JFK ST & WINTHROP ST,2023,0,0,0
JFK ST & WINTHROP ST,2024,1,0,1
JFK ST & WINTHROP ST,2025,0,0,0
JOHN F KENNEDY ST & MOUNT AUBURN ST,2023,0,0,0
JOHN F KENNEDY ST & MOUNT AUBURN ST,2024,0,0,0
JOHN F KENNEDY ST & MOUNT AUBURN ST,2025,1,0,1
KIRKLAND PL & KIRKLAND ST,2023,1,0,1
KIRKLAND PL & KIRKLAND ST,2024,0,0,0
KIRKLAND PL & KIRKLAND ST,2025,0,0,0
LAND BLVD & MONSIGNOR OBRIEN HIGHWAY,2023,0,0,0
LAND BLVD & MONSIGNOR OBRIEN HIGHWAY,2024,1,0,1
LAND BLVD & MONSIGNOR OBRIEN HIGHWAY,2025,0,0,0
LAWRENCE ST & MAGAZINE ST,2023,0,0,0
LAWRENCE ST & MAGAZINE ST,2024,1,1,0
LAWRENCE ST & MAGAZINE ST,2025,0,0,0
LEE ST & MASSACHUSETTS AVE,2023,0,0,0
LEE ST & MASSACHUSETTS AVE,2024,1,1,0
LEE ST & MASSACHUSETTS AVE,2025,0,0,0
LINDEN ST & MOUNT AUBURN ST,2023,1,0,1
LINDEN ST & MOUNT AUBURN ST,2024,0,0,0
LINDEN ST & MOUNT AUBURN ST,2025,0,0,0
MAGAZINE ST & PUTNAM AVE,2023,0,0,0
MAGAZINE ST & PUTNAM AVE,2024,1,0,1
MAGAZINE ST & PUTNAM AVE,2025,0,0,0
MAIN ST & MEMORIAL DR,2023,0,0,0
MAIN ST & MEMORIAL DR,2024,1,1,0
MAIN ST & MEMORIAL DR,2025,0,0,0
MAIN ST & WADSWORTH ST,2023,0,0,0
MAIN ST & WADSWORTH ST,2024,1,0,1
MAIN ST & WADSWORTH ST,2025,0,0,0
MASSACHUSETTS AVE & MASSACHUSETTS AVE EXTENSION,2023,1,1,0
MASSACHUSETTS AVE & MASSACHUSETTS AVE EXTENSION,2024,0,0,0
MASSACHUSETTS AVE & MASSACHUSETTS AVE EXTENSION,2025,0,0,0
MASSACHUSETTS AVE & PEARL,2023,1,1,0
MASSACHUSETTS AVE & PEARL,2024,0,0,0
MASSACHUSETTS AVE & PEARL,2025,0,0,0
MASSACHUSETTS AVE & PLEASANT ST,2023,0,0,0
MASSACHUSETTS AVE & PLEASANT ST,2024,1,1,0
MASSACHUSETTS AVE & PLEASANT ST,2025,0,0,0
MASSACHUSETTS AVE & PROSPECT ST,2023,1,0,1
MASSACHUSETTS AVE & PROSPECT ST,2024,0,0,0
MASSACHUSETTS AVE & PROSPECT ST,2025,0,0,0
MASSACHUSETTS AVE & SHEA RD,2023,0,0,0
MASSACHUSETTS AVE & SHEA RD,2024,1,1,0
MASSACHUSETTS AVE & SHEA RD,2025,0,0,0
MASSACHUSETTS AVE & TROWBRIDGE,2023,1,1,0
MASSACHUSETTS AVE & TROWBRIDGE,2024,0,0,0
MASSACHUSETTS AVE & TROWBRIDGE,2025,0,0,0
MASSACHUSETTS AVE & VASSAR,2023,0,0,0
MASSACHUSETTS AVE & VASSAR,2024,0,0,0
MASSACHUSETTS AVE & VASSAR,2025,1,1,0
MASSACHUSETTS AVE & WESTERN AVE,2023,0,0,0
MASSACHUSETTS AVE & WESTERN AVE,2024,1,1,0
MASSACHUSETTS AVE & WESTERN AVE,2025,0,0,0
MASSACHUSETTS AVE & WHITE ST,2023,0,0,0
MASSACHUSETTS AVE & WHITE ST,2024,1,1,0
MASSACHUSETTS AVE & WHITE ST,2025,0,0,0
MASSACHUSETTSS AVE & MASSACHUSSETTS AVE,2023,0,0,0
MASSACHUSETTSS AVE & MASSACHUSSETTS AVE,2024,1,1,0
MASSACHUSETTSS AVE & MASSACHUSSETTS AVE,2025,0,0,0
MASSCHUSETTS AVE & PROSPECT ST,2023,0,0,0
MASSCHUSETTS AVE & PROSPECT ST,2024,0,0,0
MASSCHUSETTS AVE & PROSPECT ST,2025,1,1,0
MEMORIAL DR & VASSAR ST,2023,0,0,0
MEMORIAL DR & VASSAR ST,2024,0,0,0
MEMORIAL DR & VASSAR ST,2025,1,0,1
MONSIGNOR OBRIEN HIGHWAY & THIRD ST,2023,0,0,0
MONSIGNOR OBRIEN HIGHWAY & THIRD ST,2024,1,0,1
MONSIGNOR OBRIEN HIGHWAY & THIRD ST,2025,0,0,0
MOUNT AUBURN ST & PLYMPTON ST,2023,1,1,0
MOUNT AUBURN ST & PLYMPTON ST,2024,0,0,0
MOUNT AUBURN ST & PLYMPTON ST,2025,0,0,0
MT PLEASANT ST & WALDEN ST,2023,0,0,0
MT PLEASANT ST & WALDEN ST,2024,0,0,0
MT PLEASANT ST & WALDEN ST,2025,1,0,1
NORTH FIRST ST & WATER ST,2023,0,0,0
NORTH FIRST ST & WATER ST,2024,0,0,0
NORTH FIRST ST & WATER ST,2025,1,1,0
PALERMO ST & WILLOW ST,2023,1,0,1
PALERMO ST & WILLOW ST,2024,0,0,0
PALERMO ST & WILLOW ST,2025,0,0,0
PEMBERTON ST & RINDGE AVE,2023,0,0,0
PEMBERTON ST & RINDGE AVE,2024,1,0,1
PEMBERTON ST & RINDGE AVE,2025,0,0,0
PEMBERTON ST & YERXA RD,2023,1,0,1
PEMBERTON ST & YERXA RD,2024,0,0,0
PEMBERTON ST & YERXA RD,2025,0,0,0
PLEASANT ST & WESTERN AVE,2023,0,0,0
PLEASANT ST & WESTERN AVE,2024,1,1,0
PLEASANT ST & WESTERN AVE,2025,0,0,0
POTTER ST & THIRD ST,2023,0,0,0
POTTER ST & THIRD ST,2024,1,1,0
POTTER ST & THIRD ST,2025,0,0,0
PUTNAM AVE & SIDNEY ST,2023,0,0,0
PUTNAM AVE & SIDNEY ST,2024,0,0,0
PUTNAM AVE & SIDNEY ST,2025,1,0,1
RAMOND ST & UPLAND RD,2023,0,0,0
RAMOND ST & UPLAND RD,2024,1,1,0
RAMOND ST & UPLAND RD,2025,0,0,0
RICHDALE AVE & UPLAND RD,2023,0,0,0
RICHDALE AVE & UPLAND RD,2024,0,0,0
RICHDALE AVE & UPLAND RD,2025,1,0,1
ROGERS ST & SECOND ST,2023,0,0,0
ROGERS ST & SECOND ST,2024,0,0,0
ROGERS ST & SECOND ST,2025,1,1,0
SECKEL ST & WINDSOR ST,2023,0,0,0
SECKEL ST & WINDSOR ST,2024,1,0,1
SECKEL ST & WINDSOR ST,2025,0,0,0
SHERMAN ST & WALDEN ST,2023,1,0,1
SHERMAN ST & WALDEN ST,2024,0,0,0
SHERMAN ST & WALDEN ST,2025,0,0,0
SOMERVILLE AVE & WHITE ST,2023,0,0,0
SOMERVILLE AVE & WHITE ST,2024,1,1,0
SOMERVILLE AVE & WHITE ST,2025,0,0,0
ALBANY ST & CROSS ST,2023,0,0,0
ALBANY ST & CROSS ST,2024,1,1,0
ALBANY ST & CROSS ST,2025,0,0,0
ANTRIM ST & BROADWAY,2023,0,0,0
ANTRIM ST & BROADWAY,2024,1,0,1
ANTRIM ST & BROADWAY,2025,0,0,0
APPIAN WAY & BRATTLE,2023,0,0,0
APPIAN WAY & BRATTLE,2024,1,1,0
APPIAN WAY & BRATTLE,2025,0,0,0
APPLETON ST & BRATTLE ST,2023,0,0,0
APPLETON ST & BRATTLE ST,2024,0,0,0
APPLETON ST & BRATTLE ST,2025,1,1,0
BEECH ST & ORCHARD ST,2023,1,0,1
BEECH ST & ORCHARD ST,2024,0,0,0
BEECH ST & ORCHARD ST,2025,0,0,0
BENT ST & SIXTH ST,2023,0,0,0
BENT ST & SIXTH ST,2024,1,1,0
BENT ST & SIXTH ST,2025,0,0,0
BINNEY ST & THIRD ST,2023,1,0,1
BINNEY ST & THIRD ST,2024,0,0,0
BINNEY ST & THIRD ST,2025,0,0,0
BISHOP ALLEN DR & MAIN ST,2023,0,0,0
BISHOP ALLEN DR & MAIN ST,2024,1,1,0
BISHOP ALLEN DR & MAIN ST,2025,0,0,0
BRATTLE SQ & BRATTLE ST,2023,1,0,1
BRATTLE SQ & BRATTLE ST,2024,0,0,0
BRATTLE SQ & BRATTLE ST,2025,0,0,0
BRATTLE ST & CHURCH ST,2023,1,1,0
BRATTLE ST & CHURCH ST,2024,0,0,0
BRATTLE ST & CHURCH ST,2025,0,0,0
BRATTLE ST & MASON ST,2023,0,0,0
BRATTLE ST & MASON ST,2024,1,0,1
BRATTLE ST & MASON ST,2025,0,0,0
BRATTLE ST & MOUNT AUBURN ST,2023,1,1,0
BRATTLE ST & MOUNT AUBURN ST,2024,0,0,0
BRATTLE ST & MOUNT AUBURN ST,2025,0,0,0
BRISTOL ST & HAMPSHIRE ST,2023,0,0,0
BRISTOL ST & HAMPSHIRE ST,2024,0,0,0
BRISTOL ST & HAMPSHIRE ST,2025,1,1,0
BROADWAY & ELLERY ST,2023,1,0,1
BROADWAY & ELLERY ST,2024,0,0,0
BROADWAY & ELLERY ST,2025,0,0,0
BROADWAY & GALILEO WAY,2023,0,0,0
BROADWAY & GALILEO WAY,2024,0,0,0
BROADWAY & GALILEO WAY,2025,1,1,0
BROADWAY & TREMONT,2023,0,0,0
BROADWAY & TREMONT,2024,0,0,0
BROADWAY & TREMONT,2025,1,0,1
BROADWAY ST & PORTLAND ST,2023,0,0,0
BROADWAY ST & PORTLAND ST,2024,1,1,0
BROADWAY ST & PORTLAND ST,2025,0,0,0
BROOKLINE ST & PUTNAM AVE,2023,0,0,0
BROOKLINE ST & PUTNAM AVE,2024,1,1,0
BROOKLINE ST & PUTNAM AVE,2025,0,0,0
BROOKLINE ST & TUTOR ST,2023,0,0,0
BROOKLINE ST & TUTOR ST,2024,1,1,0
BROOKLINE ST & TUTOR ST,2025,0,0,0
CAMBRIDGE & NORFOLK ST,2023,0,0,0
CAMBRIDGE & NORFOLK ST,2024,1,1,0
CAMBRIDGE & NORFOLK ST,2025,0,0,0
CAMBRIDGE ST & FIFTH ST,2023,0,0,0
CAMBRIDGE ST & FIFTH ST,2024,0,0,0
CAMBRIDGE ST & FIFTH ST,2025,1,1,0
CAMBRIDGE ST & SPRINGFIELD ST,2023,0,0,0
CAMBRIDGE ST & SPRINGFIELD ST,2024,1,1,0
CAMBRIDGE ST & SPRINGFIELD ST,2025,0,0,0
CAMERON AVE & MASSACHUSETTS AVE,2023,1,1,0
CAMERON AVE & MASSACHUSETTS AVE,2024,0,0,0
CAMERON AVE & MASSACHUSETTS AVE,2025,0,0,0
CAMERON AVE & SEVEN PINES AVE,2023,1,1,0
CAMERON AVE & SEVEN PINES AVE,2024,0,0,0
CAMERON AVE & SEVEN PINES AVE,2025,0,0,0
CARDINAL MEDIROS AVE & HAMPSHIRE ST,2023,0,0,0
CARDINAL MEDIROS AVE & HAMPSHIRE ST,2024,0,0,0
CARDINAL MEDIROS AVE & HAMPSHIRE ST,2025,1,1,0
COLUMBIA & HAMPSHIRE,2023,0,0,0
COLUMBIA & HAMPSHIRE,2024,0,0,0
COLUMBIA & HAMPSHIRE,2025,1,1,0
COLUMBIA ST & COLUMBIA TER,2023,0,0,0
COLUMBIA ST & COLUMBIA TER,2024,0,0,0
COLUMBIA ST & COLUMBIA TER,2025,1,0,1
COLUMBIA ST & LINCOLN ST,2023,1,1,0
COLUMBIA ST & LINCOLN ST,2024,0,0,0
COLUMBIA ST & LINCOLN ST,2025,0,0,0
CONCORD AVE & CONCORD LANE,2023,0,0,0
CONCORD AVE & CONCORD LANE,2024,1,1,0
CONCORD AVE & CONCORD LANE,2025,0,0,0
CONCORD AVE & FAYERWEATHER ST,2023,0,0,0
CONCORD AVE & FAYERWEATHER ST,2024,1,0,1
CONCORD AVE & FAYERWEATHER ST,2025,0,0,0
CONCORD AVE & NEW ST,2023,0,0,0
CONCORD AVE & NEW ST,2024,1,1,0
CONCORD AVE & NEW ST,2025,0,0,0
EMILY ST & SYDNEY ST,2023,0,0,0
EMILY ST & SYDNEY ST,2024,1,1,0
EMILY ST & SYDNEY ST,2025,0,0,0
FOSTER ST & SPARKS ST,2023,0,0,0
FOSTER ST & SPARKS ST,2024,0,0,0
FOSTER ST & SPARKS ST,2025,1,0,1
FRANKLIN ST & PEARL ST,2023,0,0,0
FRANKLIN ST & PEARL ST,2024,0,0,0
FRANKLIN ST & PEARL ST,2025,1,0,1
FULKERSON ST & THORNDIKE ST,2023,1,1,0
FULKERSON ST & THORNDIKE ST,2024,0,0,0
FULKERSON ST & THORNDIKE ST,2025,0,0,0
GREEN ST & SIDNEY ST,2023,0,0,0
GREEN ST & SIDNEY ST,2024,0,0,0
GREEN ST & SIDNEY ST,2025,1,1,0
HARVARD ST & NORFOLK ST,2023,0,0,0
HARVARD ST & NORFOLK ST,2024,1,1,0
HARVARD ST & NORFOLK ST,2025,0,0,0
HAYWARD ST & MAIN ST,2023,0,0,0
HAYWARD ST & MAIN ST,2024,0,0,0
HAYWARD ST & MAIN ST,2025,1,1,0
HOLYOKE ST & MASSACHUSETTS AVE,2023,0,0,0
HOLYOKE ST & MASSACHUSETTS AVE,2024,1,1,0
HOLYOKE ST & MASSACHUSETTS AVE,2025,0,0,0
HOLYOKE ST & MOUNT AUBURN ST,2023,1,1,0
HOLYOKE ST & MOUNT AUBURN ST,2024,0,0,0
HOLYOKE ST & MOUNT AUBURN ST,2025,0,0,0
INMAN ST & MASSACHUSETTS AVE,2023,0,0,0
INMAN ST & MASSACHUSETTS AVE,2024,1,1,0
INMAN ST & MASSACHUSETTS AVE,2025,0,0,0
KINNAIRD ST & PUTNAM AVE,2023,0,0,0
KINNAIRD ST & PUTNAM AVE,2024,1,1,0
KINNAIRD ST & PUTNAM AVE,2025,0,0,0
KIRKLAND ST & ROBERTS RD,2023,0,0,0
KIRKLAND ST & ROBERTS RD,2024,1,1,0
KIRKLAND ST & ROBERTS RD,2025,0,0,0
LINNAEAN ROADWAY & MASSACHUSETTS AVE,2023,0,0,0
LINNAEAN ROADWAY & MASSACHUSETTS AVE,2024,1,1,0
LINNAEAN ROADWAY & MASSACHUSETTS AVE,2025,0,0,0
MASSACHUSETTS AVE & PLYMPTON ST,2023,1,1,0
MASSACHUSETTS AVE & PLYMPTON ST,2024,0,0,0
MASSACHUSETTS AVE & PLYMPTON ST,2025,0,0,0
MASSACHUSETTS AVE & PRENTISS ST,2023,1,1,0
MASSACHUSETTS AVE & PRENTISS ST,2024,0,0,0
MASSACHUSETTS AVE & PRENTISS ST,2025,0,0,0
MASSACHUSETTS AVE & PUTNAM AVE,2023,0,0,0
MASSACHUSETTS AVE & PUTNAM AVE,2024,1,1,0
MASSACHUSETTS AVE & PUTNAM AVE,2025,0,0,0
MASSACHUSETTS AVE & SIDNEY ST EXT,2023,0,0,0
MASSACHUSETTS AVE & SIDNEY ST EXT,2024,1,0,1
MASSACHUSETTS AVE & SIDNEY ST EXT,2025,0,0,0
MASSACHUSETTS AVE & STATE ST,2023,0,0,0
MASSACHUSETTS AVE & STATE ST,2024,0,0,0
MASSACHUSETTS AVE & STATE ST,2025,1,1,0
MASSACHUSETTS AVE & TROWBRIDGE ST,2023,0,0,0
MASSACHUSETTS AVE & TROWBRIDGE ST,2024,1,1,0
MASSACHUSETTS AVE & TROWBRIDGE ST,2025,0,0,0
MEMORIAL DR & PLYMPTON ST,2023,0,0,0
MEMORIAL DR & PLYMPTON ST,2024,1,1,0
MEMORIAL DR & PLYMPTON ST,2025,0,0,0
NOTRE DAME AVE & SARGENT ST,2023,0,0,0
NOTRE DAME AVE & SARGENT ST,2024,1,0,1
NOTRE DAME AVE & SARGENT ST,2025,0,0,0
OXFORD & WENDELL,2023,0,0,0
OXFORD & WENDELL,2024,1,0,1
OXFORD & WENDELL,2025,0,0,0
RICHDALE AVE & WALDEN ST,2023,1,1,0
RICHDALE AVE & WALDEN ST,2024,0,0,0
RICHDALE AVE & WALDEN ST,2025,0,0,0
