public_intersection,year,all_eligible_crashes,cyclist_involved_crashes,pedestrian_involved_crashes
MASSACHUSETTS AVE & SOMERVILLE AVE,2024,3,3,0
MASSACHUSETTS AVE & SOMERVILLE AVE,2025,0,0,0
APPIAN WAY & GARDEN ST,2023,0,0,0
APPIAN WAY & GARDEN ST,2024,1,0,1
APPIAN WAY & GARDEN ST,2025,1,0,1
BINNEY ST & FIRST ST,2023,0,0,0
BINNEY ST & FIRST ST,2024,2,0,2
BINNEY ST & FIRST ST,2025,0,0,0
BISHOP ALLEN DR & NORFOLK ST,2023,1,0,1
BISHOP ALLEN DR & NORFOLK ST,2024,1,0,1
BISHOP ALLEN DR & NORFOLK ST,2025,0,0,0
BOND ST & GARDEN ST,2023,1,1,0
BOND ST & GARDEN ST,2024,0,0,0
BOND ST & GARDEN ST,2025,1,1,0
BRATTLE ST & LAKEVIEW AVE,2023,1,1,0
BRATTLE ST & LAKEVIEW AVE,2024,0,0,0
BRATTLE ST & LAKEVIEW AVE,2025,1,1,0
BROADWAY & DANA ST,2023,0,0,0
BROADWAY & DANA ST,2024,2,1,1
BROADWAY & DANA ST,2025,0,0,0
BROADWAY & FELTON,2023,0,0,0
BROADWAY & FELTON,2024,0,0,0
BROADWAY & FELTON,2025,2,0,2
BROADWAY & GALILEO GALILEI WAY,2023,0,0,0
BROADWAY & GALILEO GALILEI WAY,2024,1,0,1
BROADWAY & GALILEO GALILEI WAY,2025,1,0,1
BROADWAY & HAMPSHIRE ST,2023,2,2,0
BROADWAY & HAMPSHIRE ST,2024,0,0,0
BROADWAY & HAMPSHIRE ST,2025,0,0,0
BROADWAY & HIGHLAND AVE,2023,0,0,0
BROADWAY & HIGHLAND AVE,2024,0,0,0
BROADWAY & HIGHLAND AVE,2025,2,1,1
BROADWAY & WARE ST,2023,1,1,0
BROADWAY & WARE ST,2024,0,0,0
BROADWAY & WARE ST,2025,1,0,1
BROOKLINE ST & FRANKLIN ST,2023,0,0,0
BROOKLINE ST & FRANKLIN ST,2024,1,1,0
BROOKLINE ST & FRANKLIN ST,2025,1,0,1
CAMBRIDGE ST & CAMELIA AVE,2023,0,0,0
CAMBRIDGE ST & CAMELIA AVE,2024,1,1,0
CAMBRIDGE ST & CAMELIA AVE,2025,1,1,0
CAMBRIDGE ST & CARDINAL MEDEIROS AVE,2023,0,0,0
CAMBRIDGE ST & CARDINAL MEDEIROS AVE,2024,1,1,0
CAMBRIDGE ST & CARDINAL MEDEIROS AVE,2025,1,1,0
CAMBRIDGE ST & FULKERSON ST,2023,0,0,0
CAMBRIDGE ST & FULKERSON ST,2024,2,2,0
CAMBRIDGE ST & FULKERSON ST,2025,0,0,0
CAMBRIDGE ST & HAMPSHIRE ST,2023,0,0,0
CAMBRIDGE ST & HAMPSHIRE ST,2024,1,0,1
CAMBRIDGE ST & HAMPSHIRE ST,2025,1,1,0
CAMBRIDGE ST & LINE ST,2023,1,0,1
CAMBRIDGE ST & LINE ST,2024,0,0,0
CAMBRIDGE ST & LINE ST,2025,1,1,0
CAMBRIDGE ST & SUMNER RD,2023,0,0,0
CAMBRIDGE ST & SUMNER RD,2024,0,0,0
CAMBRIDGE ST & SUMNER RD,2025,2,2,0
CAMBRIDGE ST & TREMONT ST,2023,0,0,0
CAMBRIDGE ST & TREMONT ST,2024,1,1,0
CAMBRIDGE ST & TREMONT ST,2025,1,0,1
CEDAR ST & MASSACHUSETTS AVE,2023,0,0,0
CEDAR ST & MASSACHUSETTS AVE,2024,1,1,0
CEDAR ST & MASSACHUSETTS AVE,2025,1,1,0
CHAUNCY ST & GARDEN ST,2023,1,1,0
CHAUNCY ST & GARDEN ST,2024,1,1,0
CHAUNCY ST & GARDEN ST,2025,0,0,0
CLINTON ST & MASSACHUSETTS AVE,2023,0,0,0
CLINTON ST & MASSACHUSETTS AVE,2024,0,0,0
CLINTON ST & MASSACHUSETTS AVE,2025,2,0,2
CONCORD AVE & FAWCETT ST,2023,1,1,0
CONCORD AVE & FAWCETT ST,2024,0,0,0
CONCORD AVE & FAWCETT ST,2025,1,1,0
ELLERY ST & MASSACHUSETTS AVE,2023,1,1,0
ELLERY ST & MASSACHUSETTS AVE,2024,1,0,1
ELLERY ST & MASSACHUSETTS AVE,2025,0,0,0
FRANKLIN ST & PLEASANT ST,2023,1,0,1
FRANKLIN ST & PLEASANT ST,2024,1,0,1
FRANKLIN ST & PLEASANT ST,2025,0,0,0
GARDEN ST & WALDEN ST,2023,0,0,0
GARDEN ST & WALDEN ST,2024,1,0,1
GARDEN ST & WALDEN ST,2025,1,1,0
GARFIELD ST & MASSACHUSETTS AVE,2023,0,0,0
GARFIELD ST & MASSACHUSETTS AVE,2024,1,0,1
GARFIELD ST & MASSACHUSETTS AVE,2025,1,0,1
HAMPSHIRE ST & PROSPECT ST,2023,2,1,1
HAMPSHIRE ST & PROSPECT ST,2024,0,0,0
HAMPSHIRE ST & PROSPECT ST,2025,0,0,0
HAMPSHIRE ST & WINDSOR ST,2023,2,2,0
HAMPSHIRE ST & WINDSOR ST,2024,0,0,0
HAMPSHIRE ST & WINDSOR ST,2025,0,0,0
MAIN ST & PORTLAND ST,2023,0,0,0
MAIN ST & PORTLAND ST,2024,1,1,0
MAIN ST & PORTLAND ST,2025,1,1,0
MASSACHUSETTS AVE & SELLERS ST,2023,0,0,0
MASSACHUSETTS AVE & SELLERS ST,2024,2,2,0
MASSACHUSETTS AVE & SELLERS ST,2025,0,0,0
MORGAN AVE & NORTH FIRST ST,2023,0,0,0
MORGAN AVE & NORTH FIRST ST,2024,1,1,0
MORGAN AVE & NORTH FIRST ST,2025,1,1,0
PUTNAM AVE & WESTERN AVE,2023,1,1,0
PUTNAM AVE & WESTERN AVE,2024,0,0,0
PUTNAM AVE & WESTERN AVE,2025,1,1,0
RAYMOND ST & WALDEN ST,2023,1,1,0
RAYMOND ST & WALDEN ST,2024,1,0,1
RAYMOND ST & WALDEN ST,2025,0,0,0
AMHERST ST & MASSACHUSETTS AVE,2023,0,0,0
AMHERST ST & MASSACHUSETTS AVE,2024,1,1,0
AMHERST ST & MASSACHUSETTS AVE,2025,1,1,0
BELMONT ST & CUSHING ST,2023,2,1,1
BELMONT ST & CUSHING ST,2024,0,0,0
BELMONT ST & CUSHING ST,2025,0,0,0
BROOKFORD ST & MASSACHUSETTS AVE,2023,1,1,0
BROOKFORD ST & MASSACHUSETTS AVE,2024,1,1,0
BROOKFORD ST & MASSACHUSETTS AVE,2025,0,0,0
CAMBRIDGE ST & WEBSTER AVE,2023,1,1,0
CAMBRIDGE ST & WEBSTER AVE,2024,0,0,0
CAMBRIDGE ST & WEBSTER AVE,2025,1,0,1
CEDAR ST & RINDGE AVE,2023,0,0,0
CEDAR ST & RINDGE AVE,2024,1,0,1
CEDAR ST & RINDGE AVE,2025,1,0,1
GARDEN ST & MASSACHUSETTS AVE,2023,2,2,0
GARDEN ST & MASSACHUSETTS AVE,2024,0,0,0
GARDEN ST & MASSACHUSETTS AVE,2025,0,0,0
HAMPSHIRE ST & TREMONT ST,2023,1,1,0
HAMPSHIRE ST & TREMONT ST,2024,0,0,0
HAMPSHIRE ST & TREMONT ST,2025,1,1,0
HAMPSHIRE ST & UNION ST,2023,0,0,0
HAMPSHIRE ST & UNION ST,2024,1,1,0
HAMPSHIRE ST & UNION ST,2025,1,1,0
HAMPSHIRE ST & WEBSTER AVE,2023,2,2,0
HAMPSHIRE ST & WEBSTER AVE,2024,0,0,0
HAMPSHIRE ST & WEBSTER AVE,2025,0,0,0
LANDSDOWNE ST & MASSACHUSETTS AVE,2023,1,1,0
LANDSDOWNE ST & MASSACHUSETTS AVE,2024,0,0,0
LANDSDOWNE ST & MASSACHUSETTS AVE,2025,1,1,0
MASSACHUSETTS AVE & MT VERNON ST,2023,0,0,0
MASSACHUSETTS AVE & MT VERNON ST,2024,1,1,0
MASSACHUSETTS AVE & MT VERNON ST,2025,1,1,0
MASSACHUSETTS AVE & TEMPLE ST,2023,0,0,0
MASSACHUSETTS AVE & TEMPLE ST,2024,1,1,0
MASSACHUSETTS AVE & TEMPLE ST,2025,1,1,0
